Nama Restoran,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Variasi Makanan
"Pulen Kopi Ponti, Candi Sambisari","Jl. Candi Sambisari No.16 A, Kalasan, Yogyakarta",13000,4.8,Sayur Lodeh
"Pulen Kopi Ponti, Candi Sambisari","Jl. Candi Sambisari No.16 A, Kalasan, Yogyakarta",13000,4.8,Sayur Sop
"Pulen Kopi Ponti, Candi Sambisari","Jl. Candi Sambisari No.16 A, Kalasan, Yogyakarta",13000,4.8,Kopi Jahe
"Kedai Lontong Sayur Mbak Win, Ruko Pasar Telogorejo","Ruko Pasar Telogorejo, Jl. Godean Km. 5, Gamping, Yogyakarta",13000,4.6,Lontong Sayur
"Kedai Lontong Sayur Mbak Win, Ruko Pasar Telogorejo","Ruko Pasar Telogorejo, Jl. Godean Km. 5, Gamping, Yogyakarta",13000,4.6,Lontong Opor Telur
"Lontong Sayur Uda Asdi, Andong","Jl. Andong, Umbulharjo, Yogyakarta",11000,4.6,Lontong Sayur
"Lontong Sayur Uda Asdi, Andong","Jl. Andong, Umbulharjo, Yogyakarta",11000,4.6,Lontong Pecel Ayam
"Lontong Sayur Uda Asdi, Andong","Jl. Andong, Umbulharjo, Yogyakarta",11000,4.6,Tempe Goreng
"Nasi Kuning Nurul, Kricak","Jl. Magelang, Kricak Kidul, Tegalrejo, Yogyakarta",8000,4.6,Nasi Kuning
"Nasi Kuning Nurul, Kricak","Jl. Magelang, Kricak Kidul, Tegalrejo, Yogyakarta",8000,4.6,Bakwan Sayur
"Nasi Kuning Nurul, Kricak","Jl. Magelang, Kricak Kidul, Tegalrejo, Yogyakarta",8000,4.6,Telur Balado
"Lontong Sayur & Pecel Padang 2 Saudara, Pramuka","Jl. Pramuka No. 110, Umbulharjo, Yogyakarta",8000,4.5,Lontong Sayur
"Lontong Sayur & Pecel Padang 2 Saudara, Pramuka","Jl. Pramuka No. 110, Umbulharjo, Yogyakarta",8000,4.5,Bubur Sumsum
"Lontong Sayur & Pecel Padang 2 Saudara, Pramuka","Jl. Pramuka No. 110, Umbulharjo, Yogyakarta",8000,4.5,Kacang Ijo
"Bubur Ayam Sembilan Babarsari, Depok","Jl. Babarsari No 9, Depok, Sleman, Yogyakarta",10000,4.6,Sate Puyuh
"Bubur Ayam Sembilan Babarsari, Depok","Jl. Babarsari No 9, Depok, Sleman, Yogyakarta",10000,4.6,Bubur Polos
"Bubur Ayam Sembilan Babarsari, Depok","Jl. Babarsari No 9, Depok, Sleman, Yogyakarta",10000,4.6,Lontong Sayur
Rujak cingur dan Tahu tek ARJUNA,"Jln. Flamboyan, Gang Arjuna, Tambakrejo, Sariharjo, Ngaglik, Sleman, Yogyakarta",14000,4.7,Rujak Cingur
Rujak cingur dan Tahu tek ARJUNA,"Jln. Flamboyan, Gang Arjuna, Tambakrejo, Sariharjo, Ngaglik, Sleman, Yogyakarta",14000,4.7,Tahu Tek
Rujak cingur dan Tahu tek ARJUNA,"Jln. Flamboyan, Gang Arjuna, Tambakrejo, Sariharjo, Ngaglik, Sleman, Yogyakarta",14000,4.7,Peyek Rebon
"Rujak Cingur, Gado-gado Dan Tahu Tek Kedai Sumilir","Jl.Bantulan-sidoarum Godean Sleman, Yogyakarta",20000,4.7,Rujak Cingur Super Pedas
"Rujak Cingur, Gado-gado Dan Tahu Tek Kedai Sumilir","Jl.Bantulan-sidoarum Godean Sleman, Yogyakarta",20000,4.7,Lotek
"Rujak Cingur, Gado-gado Dan Tahu Tek Kedai Sumilir","Jl.Bantulan-sidoarum Godean Sleman, Yogyakarta",20000,4.7,Tahu Tek
"Rujak Cingur Surabaya Bu Thamrin, Madukismo","Jl. Madukismo No. 34, Kasihan, Yogyakarta",13000,4.7,Rujak Cingur
"Rujak Cingur Surabaya Bu Thamrin, Madukismo","Jl. Madukismo No. 34, Kasihan, Yogyakarta",13000,4.7,Lotek Bakwan
"Rujak Cingur Surabaya Bu Thamrin, Madukismo","Jl. Madukismo No. 34, Kasihan, Yogyakarta",13000,4.7,Kupat Tahu
"Sego Saduk Suroboyo, Cokro","Jl Bumijo Lor No 24-22, Jetis, Yogyakarta",25000,4.7,Rujak Cingur
