Nama Restoran,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Variasi Makanan
Ayam Geprek Mbok Moro,"Jl. Bantul No. 31, Suryodiningratan, Mantrijeron, Yogyakarta",15000,4.5,Saus Rendang
Ayam Geprek Mbok Moro,"Jl. Bantul No. 31, Suryodiningratan, Mantrijeron, Yogyakarta",15000,4.5,Saus Barbeque
Ingkung Mbah Cempluk,"Desa Wisata Santan, Pajangan, Bantul, Yogyakarta",125000,4.5,Ingkung Ayam Utuh
Ingkung Mbah Cempluk,"Desa Wisata Santan, Pajangan, Bantul, Yogyakarta",125000,4.5,Ingkung Goreng
Ingkung Mbah Cempluk,"Desa Wisata Santan, Pajangan, Bantul, Yogyakarta",125000,4.5,Wader Lombok Ijo
Ingkung Mbah Kentol,"Jl. Wonokromo, Bantul, Yogyakarta",120000,4.4,Ingkung Ayam Kukus
Ingkung Mbah Kentol,"Jl. Wonokromo, Bantul, Yogyakarta",120000,4.4,Sambal Tomat
Ingkung Sambilegi Bu Yadi,"Jl. Rambutan No. 26, Sambilegi Kidul, Sleman, Yogyakarta",110000,4.3,Ingkung Ayam Utuh
Ingkung Sambilegi Bu Yadi,"Jl. Rambutan No. 26, Sambilegi Kidul, Sleman, Yogyakarta",110000,4.3,Sambal Bawang
Ayam Ingkung Mbak Sri,"Jl. Kebon Agung Km 6, Sleman, Yogyakarta",140000,4.5,Ingkung Panggang
Ayam Ingkung Mbak Sri,"Jl. Kebon Agung Km 6, Sleman, Yogyakarta",140000,4.5,Sambal Dele
Ayam Ingkung Mbak Sri,"Jl. Kebon Agung Km 6, Sleman, Yogyakarta",140000,4.5,Sayur Asem
Kandang Ingkung,"Jl. Pakem - Turi, Sleman, Yogyakarta",149000,4.7,Ingkung Ayam
Kandang Ingkung,"Jl. Pakem - Turi, Sleman, Yogyakarta",149000,4.7,Oseng Jantung Pisang
Kandang Ingkung,"Jl. Pakem - Turi, Sleman, Yogyakarta",149000,4.7,Nasi Gurih
Sate Kambing Bu Umi,"Jl. Samas, Bambanglipuro, Yogyakarta",17000,4.7,Gulai Kambing
Sate Kambing Bu Umi,"Jl. Samas, Bambanglipuro, Yogyakarta",17000,4.7,Sate Kambing
Sate Kambing Bu Umi,"Jl. Samas, Bambanglipuro, Yogyakarta",17000,4.7,Tongseng
Sate Kambing Syafi Sidatan,"Jl. Kalidengen, Temon, Kulon Progo, Yogyakarta",18000,4.7,Gulai Kambing
Sate Kambing Syafi Sidatan,"Jl. Kalidengen, Temon, Kulon Progo, Yogyakarta",18000,4.7,Sop Kambing
Sate Kambing Syafi Sidatan,"Jl. Kalidengen, Temon, Kulon Progo, Yogyakarta",18000,4.7,Tongseng
Depot Madura 1 Cak Hasan,"Jl. Affandi No. 28, Depok, Yogyakarta",17000,4.6,Gulai Kambing
Depot Madura 1 Cak Hasan,"Jl. Affandi No. 28, Depok, Yogyakarta",17000,4.6,Sate Kambing
Depot Madura 1 Cak Hasan,"Jl. Affandi No. 28, Depok, Yogyakarta",17000,4.6,Nasi Goreng Kambing
Nasi Kapau Uda Jack,"Jl. Cendrawasih No. 32B, Mrican, Depok, Sleman, Yogyakarta",26000,4.7,Gulai Kepala Kambing
Nasi Kapau Uda Jack,"Jl. Cendrawasih No. 32B, Mrican, Depok, Sleman, Yogyakarta",26000,4.7,Nasi Kapau
Sate Klathak Pak Pong,"Jl. Imogiri Timur Km 10, Bantul, Yogyakarta",21000,4.8,Sate Klathak
Sate Klathak Pak Pong,"Jl. Imogiri Timur Km 10, Bantul, Yogyakarta",21000,4.8,Gulai Kambing
Bakso Balungan Pak Granat,"Jl. Kolonel Sugiyono No.58, Mergangsan, Yogyakarta",16000,4.6,Bakso Balungan
Bakso Balungan Pak Granat,"Jl. Kolonel Sugiyono No.58, Mergangsan, Yogyakarta",16000,4.6,Tetelan
Bakso Balungan Pak Granat,"Jl. Kolonel Sugiyono No.58, Mergangsan, Yogyakarta",16000,4.6,Mie Ayam
Bakso Balungan Pak Granat Mantrijeron,"Jl. Suryowijayan No 28, Mantrijeron, Yogyakarta",16000,4.6,Bakso Balungan
Bakso Balungan Pak Granat Mantrijeron,"Jl. Suryowijayan No 28, Mantrijeron, Yogyakarta",16000,4.6,Mie Ayam Ceker
Bakso Balungan Pak Granat Mantrijeron,"Jl. Suryowijayan No 28, Mantrijeron, Yogyakarta",16000,4.6,Bakso Goreng
Bakso Balungan Pojok Mirota,"Jl. Godean Km 6, Sleman, Yogyakarta",17000,4.5,Bakso Balungan
Bakso Balungan Pojok Mirota,"Jl. Godean Km 6, Sleman, Yogyakarta",17000,4.5,Bakso Komplit
Bakso Balungan Pojok Mirota,"Jl. Godean Km 6, Sleman, Yogyakarta",17000,4.5,Nasi
Bakso Tetelan Konco Kenthel,"Jl. Gedongkuning No. 12, Kotagede, Yogyakarta",11000,4.4,Bakso Balungan
Bakso Tetelan Konco Kenthel,"Jl. Gedongkuning No. 12, Kotagede, Yogyakarta",11000,4.4,Tetelan
Bakso Tetelan Konco Kenthel,"Jl. Gedongkuning No. 12, Kotagede, Yogyakarta",11000,4.4,Bakso Urat
Bakso Balungan Bu Citro,"Jl. Magelang Km 4,5, Sleman, Yogyakarta",15000,4.5,Bakso Balungan
Bakso Balungan Bu Citro,"Jl. Magelang Km 4,5, Sleman, Yogyakarta",15000,4.5,Mie Ayam
Bakmi Jawa Mbah Mo,"Jl. Parangtritis Km 11, Bantul, Yogyakarta",20000,4.7,Bakmi Nyemek
Bakmi Jawa Mbah Mo,"Jl. Parangtritis Km 11, Bantul, Yogyakarta",20000,4.7,Bakmi Goreng
Bakmi Jawa Mbah Mo,"Jl. Parangtritis Km 11, Bantul, Yogyakarta",20000,4.7,Bakmi Godhog
Bakmi Jawa Pak Pele,"Jalan Pojok Tenggara, Alun-Alun Kidul, Yogyakarta",20000,4.6,Bakmi Nyemek
Bakmi Jawa Pak Pele,"Jalan Pojok Tenggara, Alun-Alun Kidul, Yogyakarta",20000,4.6,Bakmi Goreng
Bakmi Jawa Pak Pele,"Jalan Pojok Tenggara, Alun-Alun Kidul, Yogyakarta",20000,4.6,Bakmi Godhog
Bakmi Jawa Mas Timbul,"Jl. Jambon No. 63, Kragilan, Sleman, Yogyakarta",19000,4.5,Bakmi Nyemek
Bakmi Jawa Mas Timbul,"Jl. Jambon No. 63, Kragilan, Sleman, Yogyakarta",19000,4.5,Nasi Goreng
Bakmi Jawa Mas Timbul,"Jl. Jambon No. 63, Kragilan, Sleman, Yogyakarta",19000,4.5,Magelangan
Bakmi Jawa Pak Rebo,"Jl. Brigjen Katamso, Keparakan, Mergangsan, Yogyakarta",20000,4.5,Bakmi Nyemek
Bakmi Jawa Pak Rebo,"Jl. Brigjen Katamso, Keparakan, Mergangsan, Yogyakarta",20000,4.5,Bakmi Godhog
Bakmi Jawa Pak Rebo,"Jl. Brigjen Katamso, Keparakan, Mergangsan, Yogyakarta",20000,4.5,Bakmi Goreng
Bakmi Jawa Pak Kadin,"Jl. Bintaran Kidul No. 6, Mergangsan, Yogyakarta",15000,4.6,Bakmi Nyemek
Bakmi Jawa Pak Kadin,"Jl. Bintaran Kidul No. 6, Mergangsan, Yogyakarta",15000,4.6,Bakmi Goreng
Bakmi Jawa Pak Kadin,"Jl. Bintaran Kidul No. 6, Mergangsan, Yogyakarta",15000,4.6,Bakmi Godhog
"Nasi Gurih Ayam Suwir Mbah Amo, Gowongan","Gowongan JT 3/381, Jetis, Yogyakarta",16000,4.7,Nasi Gurih Ayam Suwir
"Nasi Gurih Ayam Suwir Mbah Amo, Gowongan","Gowongan JT 3/381, Jetis, Yogyakarta",16000,4.7,Nasi Langgi
"Nasi Kuning Dapoer Mak Lie, Pandega Marta","Jl. Wahid Hasyim No 126, Dabag Condong Catur, Depok, Sleman, Yogyakarta",13000,4.8,Nasi Langgi
"Nasi Kuning Dapoer Mak Lie, Pandega Marta","Jl. Wahid Hasyim No 126, Dabag Condong Catur, Depok, Sleman, Yogyakarta",13000,4.8,Nasi Sate Ayam
"Nasi Kuning Dapoer Mak Lie, Pandega Marta","Jl. Wahid Hasyim No 126, Dabag Condong Catur, Depok, Sleman, Yogyakarta",13000,4.8,Juice Strawberry
"Nasi Langgi Yu Warnii, Godean","Jl. Ngapak - Kentheng Los 58, Jl. Sukirjan No.18 KM.10, Godean, Sidoagung, Godean, Sleman Regency, Special Region of Yogyakarta 55264",16000,4.6,Nasi Langgi with Jengkol Balado
"Nasi Langgi Yu Warnii, Godean","Jl. Ngapak - Kentheng Los 58, Jl. Sukirjan No.18 KM.10, Godean, Sidoagung, Godean, Sleman Regency, Special Region of Yogyakarta 55264",16000,4.6,Ayam Serundeng
"Muna Cung (Nasi Kuning), Beskalan","Jl. Beskalan, Gondomanan, Yogyakarta",25000,4.7,Nasi Langgi Babat
"Muna Cung (Nasi Kuning), Beskalan","Jl. Beskalan, Gondomanan, Yogyakarta",25000,4.7,Nasi Kuning Babat
"Muna Cung (Nasi Kuning), Beskalan","Jl. Beskalan, Gondomanan, Yogyakarta",25000,4.7,Kering Kentang
Nasi Langgi Pak Man,Jl. Pingit and multiple branches in Yogyakarta,6000,4.9,Nasi Langgi with various toppings like kering tempe
Nasi Langgi Pak Man,Jl. Pingit and multiple branches in Yogyakarta,6000,4.9,oseng jamur
Nasi Langgi Pak Man,Jl. Pingit and multiple branches in Yogyakarta,6000,4.9,oseng teri
